stockcode,stockname,industry,change%,MarketCap,display
2343,PACIFIC BASIN,Industrials,0.61,8558877184,2343<BR>PACIFIC BASIN<BR>+0.61%<BR><a target='_self' href='../quote/2343'>quote</a>
2356,DAHSING BANKING,Financials,2.18,11203827712,2356<BR>DAHSING BANKING<BR>+2.18%<BR><a target='_self' href='../quote/2356'>quote</a>
2357,AVICHINA,Industrials,1.83,31014387712,2357<BR>AVICHINA<BR>+1.83%<BR><a target='_self' href='../quote/2357'>quote</a>
2359,WUXI APPTEC,Healthcare,2.88,171484676096,2359<BR>WUXI APPTEC<BR>+2.88%<BR><a target='_self' href='../quote/2359'>quote</a>
2362,JINCHUAN INTL,Materials,1.89,6626112512,2362<BR>JINCHUAN INTL<BR>+1.89%<BR><a target='_self' href='../quote/2362'>quote</a>
2367,GIANT BIOGENE,Healthcare,-2.89,49626656768,2367<BR>GIANT BIOGENE<BR>-2.89%<BR><a target='_self' href='../quote/2367'>quote</a>
2378,PRU,Financials,0.96,166793756672,2378<BR>PRU<BR>+0.96%<BR><a target='_self' href='../quote/2378'>quote</a>
2380,CHINA POWER,Utilities,0.66,37976510464,2380<BR>CHINA POWER<BR>+0.66%<BR><a target='_self' href='../quote/2380'>quote</a>
2382,SUNNY OPTICAL,Industrials,-0.71,76215173120,2382<BR>SUNNY OPTICAL<BR>-0.71%<BR><a target='_self' href='../quote/2382'>quote</a>
2388,BOC HONG KONG,Financials,0.4,264848637952,2388<BR>BOC HONG KONG<BR>+0.4%<BR><a target='_self' href='../quote/2388'>quote</a>
2390,ZHIHU-W,Consumer Discretionary,-0.21,2467587840,2390<BR>ZHIHU-W<BR>-0.21%<BR><a target='_self' href='../quote/2390'>quote</a>
2400,XD INC,Information Technology,-3.89,11975671808,2400<BR>XD INC<BR>-3.89%<BR><a target='_self' href='../quote/2400'>quote</a>
2407,GAUSH MEDITECH,Healthcare,-1.61,1446344576,2407<BR>GAUSH MEDITECH<BR>-1.61%<BR><a target='_self' href='../quote/2407'>quote</a>
2411,PAGODA GP,Consumer Staples,1.52,2069442304,2411<BR>PAGODA GP<BR>+1.52%<BR><a target='_self' href='../quote/2411'>quote</a>
2415,MEDSCI,Healthcare,0.0,460823264,2415<BR>MEDSCI<BR>+0.0%<BR><a target='_self' href='../quote/2415'>quote</a>
2416,EDIANYUN,Information Technology,1.81,903972608,2416<BR>EDIANYUN<BR>+1.81%<BR><a target='_self' href='../quote/2416'>quote</a>
2423,BEKE-W,Properties & Construction,-0.32,169801564160,2423<BR>BEKE-W<BR>-0.32%<BR><a target='_self' href='../quote/2423'>quote</a>
2469,FENBI,Consumer Discretionary,-2.3,5682317824,2469<BR>FENBI<BR>-2.3%<BR><a target='_self' href='../quote/2469'>quote</a>
2487,CUTIA-B,Healthcare,-1.39,1951488896,2487<BR>CUTIA-B<BR>-1.39%<BR><a target='_self' href='../quote/2487'>quote</a>
2588,BOC AVIATION,Consumer Discretionary,-0.99,41536495616,2588<BR>BOC AVIATION<BR>-0.99%<BR><a target='_self' href='../quote/2588'>quote</a>
2600,CHALCO,Materials,1.8,122072637440,2600<BR>CHALCO<BR>+1.8%<BR><a target='_self' href='../quote/2600'>quote</a>
2601,CPIC,Financials,1.42,321451622400,2601<BR>CPIC<BR>+1.42%<BR><a target='_self' href='../quote/2601'>quote</a>
2607,SH PHARMA,Healthcare,-1.09,73794306048,2607<BR>SH PHARMA<BR>-1.09%<BR><a target='_self' href='../quote/2607'>quote</a>
2611,GTJA,Financials,0.0,167306674176,2611<BR>GTJA<BR>+0.0%<BR><a target='_self' href='../quote/2611'>quote</a>
2616,CSTONE PHARMA-B,Healthcare,-0.44,2907729664,2616<BR>CSTONE PHARMA-B<BR>-0.44%<BR><a target='_self' href='../quote/2616'>quote</a>
2618,JD LOGISTICS,Industrials,-1.07,85890850816,2618<BR>JD LOGISTICS<BR>-1.07%<BR><a target='_self' href='../quote/2618'>quote</a>
2628,CHINA LIFE,Financials,-0.68,1044526333952,2628<BR>CHINA LIFE<BR>-0.68%<BR><a target='_self' href='../quote/2628'>quote</a>
2638,HKELECTRIC-SS,Utilities,-0.19,46831865856,2638<BR>HKELECTRIC-SS<BR>-0.19%<BR><a target='_self' href='../quote/2638'>quote</a>
2666,UNI MEDICAL,Financials,1.42,9438784512,2666<BR>UNI MEDICAL<BR>+1.42%<BR><a target='_self' href='../quote/2666'>quote</a>
2669,CHINA OVS PPT,Properties & Construction,0.81,16419800064,2669<BR>CHINA OVS PPT<BR>+0.81%<BR><a target='_self' href='../quote/2669'>quote</a>
2678,TEXHONG INTL GP,Consumer Discretionary,0.25,3626099968,2678<BR>TEXHONG INTL GP<BR>+0.25%<BR><a target='_self' href='../quote/2678'>quote</a>
2688,ENN ENERGY,Utilities,0.63,62702608384,2688<BR>ENN ENERGY<BR>+0.63%<BR><a target='_self' href='../quote/2688'>quote</a>
2689,ND PAPER,Materials,-0.92,15202792448,2689<BR>ND PAPER<BR>-0.92%<BR><a target='_self' href='../quote/2689'>quote</a>
2727,SH ELECTRIC,Industrials,-2.45,115370680320,2727<BR>SH ELECTRIC<BR>-2.45%<BR><a target='_self' href='../quote/2727'>quote</a>
2777,R&F PROPERTIES,Properties & Construction,-3.57,5065699328,2777<BR>R&F PROPERTIES<BR>-3.57%<BR><a target='_self' href='../quote/2777'>quote</a>
2799,CHINA HUARONG,Financials,0.0,51357888512,2799<BR>CHINA HUARONG<BR>+0.0%<BR><a target='_self' href='../quote/2799'>quote</a>
2858,YIXIN,Financials,4.65,5871662592,2858<BR>YIXIN<BR>+4.65%<BR><a target='_self' href='../quote/2858'>quote</a>
2869,GREENTOWN SER,Properties & Construction,0.27,11795826688,2869<BR>GREENTOWN SER<BR>+0.27%<BR><a target='_self' href='../quote/2869'>quote</a>
2883,CHINA OILFIELD,Energy,1.32,59951296512,2883<BR>CHINA OILFIELD<BR>+1.32%<BR><a target='_self' href='../quote/2883'>quote</a>
2888,STANCHART,Financials,-0.94,231854440448,2888<BR>STANCHART<BR>-0.94%<BR><a target='_self' href='../quote/2888'>quote</a>
2899,ZIJIN MINING,Materials,-0.14,420541169664,2899<BR>ZIJIN MINING<BR>-0.14%<BR><a target='_self' href='../quote/2899'>quote</a>
3309,C-MER EYE,Healthcare,-0.51,2438475264,3309<BR>C-MER EYE<BR>-0.51%<BR><a target='_self' href='../quote/3309'>quote</a>
3311,CHINA STATE CON,Properties & Construction,-2.09,61358215168,3311<BR>CHINA STATE CON<BR>-2.09%<BR><a target='_self' href='../quote/3311'>quote</a>
3319,A-LIVING,Properties & Construction,-1.39,4032800000,3319<BR>A-LIVING<BR>-1.39%<BR><a target='_self' href='../quote/3319'>quote</a>
3320,CHINARES PHARMA,Healthcare,-1.06,35182055424,3320<BR>CHINARES PHARMA<BR>-1.06%<BR><a target='_self' href='../quote/3320'>quote</a>
3323,CNBM,Properties & Construction,-1.11,30112129024,3323<BR>CNBM<BR>-1.11%<BR><a target='_self' href='../quote/3323'>quote</a>
3328,BANKCOMM,Financials,1.74,552796094464,3328<BR>BANKCOMM<BR>+1.74%<BR><a target='_self' href='../quote/3328'>quote</a>
3339,LONKING,Industrials,1.35,6420150272,3339<BR>LONKING<BR>+1.35%<BR><a target='_self' href='../quote/3339'>quote</a>
3347,TIGERMED,Healthcare,-0.48,47439609856,3347<BR>TIGERMED<BR>-0.48%<BR><a target='_self' href='../quote/3347'>quote</a>
3360,FE HORIZON,Financials,-0.53,23618447360,3360<BR>FE HORIZON<BR>-0.53%<BR><a target='_self' href='../quote/3360'>quote</a>
3377,SINO-OCEAN GP,Properties & Construction,-5.6,1797399552,3377<BR>SINO-OCEAN GP<BR>-5.6%<BR><a target='_self' href='../quote/3377'>quote</a>
3380,LOGAN GROUP,Properties & Construction,-2.83,5680294912,3380<BR>LOGAN GROUP<BR>-2.83%<BR><a target='_self' href='../quote/3380'>quote</a>
3383,AGILE GROUP,Properties & Construction,-3.9,3734076928,3383<BR>AGILE GROUP<BR>-3.9%<BR><a target='_self' href='../quote/3383'>quote</a>
3396,LEGENDHOLDING,Information Technology,-2.94,19438897152,3396<BR>LEGENDHOLDING<BR>-2.94%<BR><a target='_self' href='../quote/3396'>quote</a>
3606,FUYAO GLASS,Consumer Discretionary,-0.81,163669131264,3606<BR>FUYAO GLASS<BR>-0.81%<BR><a target='_self' href='../quote/3606'>quote</a>
3613,TONGRENTANGCM,Healthcare,0.35,7140463104,3613<BR>TONGRENTANGCM<BR>+0.35%<BR><a target='_self' href='../quote/3613'>quote</a>
3618,CQRC BANK,Financials,0.88,67648798720,3618<BR>CQRC BANK<BR>+0.88%<BR><a target='_self' href='../quote/3618'>quote</a>
3633,ZHONGYU ENERGY,Utilities,0.22,12532049920,3633<BR>ZHONGYU ENERGY<BR>+0.22%<BR><a target='_self' href='../quote/3633'>quote</a>
3650,KEEP,Consumer Discretionary,-0.69,2957414656,3650<BR>KEEP<BR>-0.69%<BR><a target='_self' href='../quote/3650'>quote</a>
3668,YANCOAL AUS,Energy,-0.48,41131708416,3668<BR>YANCOAL AUS<BR>-0.48%<BR><a target='_self' href='../quote/3668'>quote</a>
3669,YONGDA AUTO,Consumer Discretionary,0.41,4641823232,3669<BR>YONGDA AUTO<BR>+0.41%<BR><a target='_self' href='../quote/3669'>quote</a>
3690,MEITUAN-W,Information Technology,-1.23,923231780864,3690<BR>MEITUAN-W<BR>-1.23%<BR><a target='_self' href='../quote/3690'>quote</a>
3692,HANSOH PHARMA,Healthcare,-2.47,103019970560,3692<BR>HANSOH PHARMA<BR>-2.47%<BR><a target='_self' href='../quote/3692'>quote</a>
3709,EEKA FASHION,Consumer Discretionary,0.81,6132275200,3709<BR>EEKA FASHION<BR>+0.81%<BR><a target='_self' href='../quote/3709'>quote</a>
3738,VOBILE GROUP,Information Technology,7.08,7922753536,3738<BR>VOBILE GROUP<BR>+7.08%<BR><a target='_self' href='../quote/3738'>quote</a>
3759,PHARMARON,Healthcare,2.04,46017007616,3759<BR>PHARMARON<BR>+2.04%<BR><a target='_self' href='../quote/3759'>quote</a>
3800,GCL TECH,Industrials,-1.82,28550989824,3800<BR>GCL TECH<BR>-1.82%<BR><a target='_self' href='../quote/3800'>quote</a>
3808,SINOTRUK,Industrials,2.43,64054968320,3808<BR>SINOTRUK<BR>+2.43%<BR><a target='_self' href='../quote/3808'>quote</a>
3868,XINYI ENERGY,Utilities,1.3,6533787136,3868<BR>XINYI ENERGY<BR>+1.3%<BR><a target='_self' href='../quote/3868'>quote</a>
3877,CSSC SHIPPING,Industrials,0.56,11137074176,3877<BR>CSSC SHIPPING<BR>+0.56%<BR><a target='_self' href='../quote/3877'>quote</a>
3888,KINGSOFT,Information Technology,0.0,45640544256,3888<BR>KINGSOFT<BR>+0.0%<BR><a target='_self' href='../quote/3888'>quote</a>
3896,KINGSOFT CLOUD,Information Technology,0.16,22726197248,3896<BR>KINGSOFT CLOUD<BR>+0.16%<BR><a target='_self' href='../quote/3896'>quote</a>
3898,TIMES ELECTRIC,Industrials,3.08,61047152640,3898<BR>TIMES ELECTRIC<BR>+3.08%<BR><a target='_self' href='../quote/3898'>quote</a>
3899,CIMC ENRIC,Energy,0.28,14332751872,3899<BR>CIMC ENRIC<BR>+0.28%<BR><a target='_self' href='../quote/3899'>quote</a>
3900,GREENTOWN CHINA,Properties & Construction,-1.84,23011170304,3900<BR>GREENTOWN CHINA<BR>-1.84%<BR><a target='_self' href='../quote/3900'>quote</a>
3908,CICC,Financials,-0.76,133332295680,3908<BR>CICC<BR>-0.76%<BR><a target='_self' href='../quote/3908'>quote</a>
3918,NAGACORP,Consumer Discretionary,-1.37,12782441472,3918<BR>NAGACORP<BR>-1.37%<BR><a target='_self' href='../quote/3918'>quote</a>
3933,UNITED LAB,Healthcare,0.65,22422151168,3933<BR>UNITED LAB<BR>+0.65%<BR><a target='_self' href='../quote/3933'>quote</a>
3968,CM BANK,Financials,-0.5,1041749311488,3968<BR>CM BANK<BR>-0.5%<BR><a target='_self' href='../quote/3968'>quote</a>
3969,CHINA CRSC,Information Technology,0.0,63571271680,3969<BR>CHINA CRSC<BR>+0.0%<BR><a target='_self' href='../quote/3969'>quote</a>
3988,BANK OF CHINA,Financials,0.25,1562620067840,3988<BR>BANK OF CHINA<BR>+0.25%<BR><a target='_self' href='../quote/3988'>quote</a>
3990,MIDEA REAL EST,Properties & Construction,-0.34,4234459648,3990<BR>MIDEA REAL EST<BR>-0.34%<BR><a target='_self' href='../quote/3990'>quote</a>
3993,CMOC,Materials,-1.7,146535940096,3993<BR>CMOC<BR>-1.7%<BR><a target='_self' href='../quote/3993'>quote</a>
3996,CH ENERGY ENG,Industrials,-0.97,89079758848,3996<BR>CH ENERGY ENG<BR>-0.97%<BR><a target='_self' href='../quote/3996'>quote</a>
3998,BOSIDENG,Consumer Discretionary,-0.74,44324798464,3998<BR>BOSIDENG<BR>-0.74%<BR><a target='_self' href='../quote/3998'>quote</a>
6030,CITIC SEC,Financials,-0.46,447167528960,6030<BR>CITIC SEC<BR>-0.46%<BR><a target='_self' href='../quote/6030'>quote</a>
6049,POLY PPT SER,Properties & Construction,-1.86,16046656512,6049<BR>POLY PPT SER<BR>-1.86%<BR><a target='_self' href='../quote/6049'>quote</a>
6055,CTIHK,Consumer Staples,0.21,16427400192,6055<BR>CTIHK<BR>+0.21%<BR><a target='_self' href='../quote/6055'>quote</a>
6060,ZA ONLINE,Financials,-1.52,17167381504,6060<BR>ZA ONLINE<BR>-1.52%<BR><a target='_self' href='../quote/6060'>quote</a>
6066,CSC,Financials,-0.5,77489430528,6066<BR>CSC<BR>-0.5%<BR><a target='_self' href='../quote/6066'>quote</a>
6069,SY HOLDINGS,Financials,4.73,6986586624,6069<BR>SY HOLDINGS<BR>+4.73%<BR><a target='_self' href='../quote/6069'>quote</a>
6078,HYGEIA HEALTH,Healthcare,-1.12,8797655040,6078<BR>HYGEIA HEALTH<BR>-1.12%<BR><a target='_self' href='../quote/6078'>quote</a>
6088,FIT HON TENG,Information Technology,-0.26,26711392256,6088<BR>FIT HON TENG<BR>-0.26%<BR><a target='_self' href='../quote/6088'>quote</a>
6098,CG SERVICES,Properties & Construction,-1.98,18186192896,6098<BR>CG SERVICES<BR>-1.98%<BR><a target='_self' href='../quote/6098'>quote</a>
6099,CMSC,Financials,0.0,175045492736,6099<BR>CMSC<BR>+0.0%<BR><a target='_self' href='../quote/6099'>quote</a>
6100,TONGDAO LIEPIN,Consumer Discretionary,1.26,1524592768,6100<BR>TONGDAO LIEPIN<BR>+1.26%<BR><a target='_self' href='../quote/6100'>quote</a>
6110,TOPSPORTS,Consumer Discretionary,-1.04,17673476096,6110<BR>TOPSPORTS<BR>-1.04%<BR><a target='_self' href='../quote/6110'>quote</a>
6160,BEIGENE,Healthcare,0.75,156525838336,6160<BR>BEIGENE<BR>+0.75%<BR><a target='_self' href='../quote/6160'>quote</a>
6185,CANSINOBIO,Healthcare,4.82,11865418752,6185<BR>CANSINOBIO<BR>+4.82%<BR><a target='_self' href='../quote/6185'>quote</a>
6186,CHINA FEIHE,Consumer Staples,0.0,48872472576,6186<BR>CHINA FEIHE<BR>+0.0%<BR><a target='_self' href='../quote/6186'>quote</a>
6608,BAIRONG-W,Information Technology,0.56,4189816320,6608<BR>BAIRONG-W<BR>+0.56%<BR><a target='_self' href='../quote/6608'>quote</a>
6610,FLOWING CLOUD,Information Technology,-3.03,577968000,6610<BR>FLOWING CLOUD<BR>-3.03%<BR><a target='_self' href='../quote/6610'>quote</a>
6616,GLOBAL NEW MAT,Materials,0.56,4472320512,6616<BR>GLOBAL NEW MAT<BR>+0.56%<BR><a target='_self' href='../quote/6616'>quote</a>
6618,JD HEALTH,Healthcare,-2.79,89240100864,6618<BR>JD HEALTH<BR>-2.79%<BR><a target='_self' href='../quote/6618'>quote</a>
6639,ARRAIL GROUP,Healthcare,-2.1,1578186368,6639<BR>ARRAIL GROUP<BR>-2.1%<BR><a target='_self' href='../quote/6639'>quote</a>
6655,HUAXIN CEMENT,Properties & Construction,-0.88,23173795840,6655<BR>HUAXIN CEMENT<BR>-0.88%<BR><a target='_self' href='../quote/6655'>quote</a>
6660,AIM VACCINE,Healthcare,-0.16,7339023360,6660<BR>AIM VACCINE<BR>-0.16%<BR><a target='_self' href='../quote/6660'>quote</a>
6690,HAIER SMARTHOME,Consumer Discretionary,-1.47,255234605056,6690<BR>HAIER SMARTHOME<BR>-1.47%<BR><a target='_self' href='../quote/6690'>quote</a>
6698,STAR CM,Consumer Discretionary,-1.02,1546327424,6698<BR>STAR CM<BR>-1.02%<BR><a target='_self' href='../quote/6698'>quote</a>
6699,ANGELALIGN,Healthcare,-1.53,9878452224,6699<BR>ANGELALIGN<BR>-1.53%<BR><a target='_self' href='../quote/6699'>quote</a>
6808,SUNART RETAIL,Consumer Staples,-1.57,23944646656,6808<BR>SUNART RETAIL<BR>-1.57%<BR><a target='_self' href='../quote/6808'>quote</a>
6818,CEB BANK,Financials,1.01,228603920384,6818<BR>CEB BANK<BR>+1.01%<BR><a target='_self' href='../quote/6818'>quote</a>
6823,HKT-SS,Telecommunications,0.0,72340299776,6823<BR>HKT-SS<BR>+0.0%<BR><a target='_self' href='../quote/6823'>quote</a>
6837,HAITONG SEC,Financials,-0.58,139195416576,6837<BR>HAITONG SEC<BR>-0.58%<BR><a target='_self' href='../quote/6837'>quote</a>
6855,ASCENTAGE-B,Healthcare,2.36,14373302272,6855<BR>ASCENTAGE-B<BR>+2.36%<BR><a target='_self' href='../quote/6855'>quote</a>
6862,HAIDILAO,Consumer Discretionary,-5.98,83607601152,6862<BR>HAIDILAO<BR>-5.98%<BR><a target='_self' href='../quote/6862'>quote</a>
6865,FLAT GLASS,Industrials,-1.43,45521674240,6865<BR>FLAT GLASS<BR>-1.43%<BR><a target='_self' href='../quote/6865'>quote</a>
6878,DIFFER GP AUTO,Properties & Construction,1.45,65759680,6878<BR>DIFFER GP AUTO<BR>+1.45%<BR><a target='_self' href='../quote/6878'>quote</a>
6881,CGS,Financials,-0.55,147456212992,6881<BR>CGS<BR>-0.55%<BR><a target='_self' href='../quote/6881'>quote</a>
6886,HTSC,Financials,-0.9,162576400384,6886<BR>HTSC<BR>-0.9%<BR><a target='_self' href='../quote/6886'>quote</a>
6929,ORBUSNEICH,Healthcare,-1.27,3212093696,6929<BR>ORBUSNEICH<BR>-1.27%<BR><a target='_self' href='../quote/6929'>quote</a>
6955,BOAN BIOTECH,Healthcare,-0.88,4801968640,6955<BR>BOAN BIOTECH<BR>-0.88%<BR><a target='_self' href='../quote/6955'>quote</a>
6969,SMOORE INTL,Consumer Discretionary,15.99,80288178176,6969<BR>SMOORE INTL<BR>+15.99%<BR><a target='_self' href='../quote/6969'>quote</a>
6979,ZJLD,Consumer Staples,-1.04,22500435968,6979<BR>ZJLD<BR>-1.04%<BR><a target='_self' href='../quote/6979'>quote</a>
9618,JD-SW,Information Technology,-0.81,434348556288,9618<BR>JD-SW<BR>-0.81%<BR><a target='_self' href='../quote/9618'>quote</a>
9626,BILIBILI-W,Information Technology,-2.17,72099061760,9626<BR>BILIBILI-W<BR>-2.17%<BR><a target='_self' href='../quote/9626'>quote</a>
9633,NONGFU SPRING,Consumer Staples,-1.03,376757747712,9633<BR>NONGFU SPRING<BR>-1.03%<BR><a target='_self' href='../quote/9633'>quote</a>
9636,JF WEALTH,Information Technology,3.58,11679698944,9636<BR>JF WEALTH<BR>+3.58%<BR><a target='_self' href='../quote/9636'>quote</a>
9658,SUPER HI,Consumer Discretionary,-7.62,12120340480,9658<BR>SUPER HI<BR>-7.62%<BR><a target='_self' href='../quote/9658'>quote</a>
9666,JINKE SERVICES,Properties & Construction,-2.48,4433112576,9666<BR>JINKE SERVICES<BR>-2.48%<BR><a target='_self' href='../quote/9666'>quote</a>
9668,CBHB,Financials,2.3,15808180224,9668<BR>CBHB<BR>+2.3%<BR><a target='_self' href='../quote/9668'>quote</a>
9669,BEISEN HOLDING,Information Technology,-1.17,2966715136,9669<BR>BEISEN HOLDING<BR>-1.17%<BR><a target='_self' href='../quote/9669'>quote</a>
9688,ZAI LAB,Healthcare,0.98,22549958656,9688<BR>ZAI LAB<BR>+0.98%<BR><a target='_self' href='../quote/9688'>quote</a>
9690,TUHU-W,Consumer Discretionary,-0.44,14525121536,9690<BR>TUHU-W<BR>-0.44%<BR><a target='_self' href='../quote/9690'>quote</a>
9696,TIANQI LITHIUM,Materials,-0.61,39870222336,9696<BR>TIANQI LITHIUM<BR>-0.61%<BR><a target='_self' href='../quote/9696'>quote</a>
9698,GDS-SW,Information Technology,7.04,33125332992,9698<BR>GDS-SW<BR>+7.04%<BR><a target='_self' href='../quote/9698'>quote</a>
9857,LINMON MEDIA,Consumer Discretionary,0.69,1045331136,9857<BR>LINMON MEDIA<BR>+0.69%<BR><a target='_self' href='../quote/9857'>quote</a>
9858,YOURAN DAIRY,Consumer Staples,4.61,6228368384,9858<BR>YOURAN DAIRY<BR>+4.61%<BR><a target='_self' href='../quote/9858'>quote</a>
9860,ADICON HOLDINGS,Healthcare,5.98,4884250112,9860<BR>ADICON HOLDINGS<BR>+5.98%<BR><a target='_self' href='../quote/9860'>quote</a>
9863,LEAPMOTOR,Consumer Discretionary,-1.77,44521099264,9863<BR>LEAPMOTOR<BR>-1.77%<BR><a target='_self' href='../quote/9863'>quote</a>
9866,NIO-SW,Consumer Discretionary,-3.3,73478619136,9866<BR>NIO-SW<BR>-3.3%<BR><a target='_self' href='../quote/9866'>quote</a>
9868,XPENG-W,Consumer Discretionary,-4.56,89313370112,9868<BR>XPENG-W<BR>-4.56%<BR><a target='_self' href='../quote/9868'>quote</a>
9869,HELENS,Consumer Discretionary,-3.2,3051184384,9869<BR>HELENS<BR>-3.2%<BR><a target='_self' href='../quote/9869'>quote</a>
9877,JENSCARE-B,Healthcare,1.59,1330762752,9877<BR>JENSCARE-B<BR>+1.59%<BR><a target='_self' href='../quote/9877'>quote</a>
9878,HUITONGDA NET,Information Technology,-0.34,9856226304,9878<BR>HUITONGDA NET<BR>-0.34%<BR><a target='_self' href='../quote/9878'>quote</a>
9885,YSB,Healthcare,-0.86,3882336768,9885<BR>YSB<BR>-0.86%<BR><a target='_self' href='../quote/9885'>quote</a>
9886,DINGDANG HEALTH,Healthcare,-2.0,646540288,9886<BR>DINGDANG HEALTH<BR>-2.0%<BR><a target='_self' href='../quote/9886'>quote</a>
9888,BIDU-SW,Information Technology,-1.65,234516398080,9888<BR>BIDU-SW<BR>-1.65%<BR><a target='_self' href='../quote/9888'>quote</a>
9896,MNSO,Consumer Discretionary,2.77,60243734528,9896<BR>MNSO<BR>+2.77%<BR><a target='_self' href='../quote/9896'>quote</a>
9898,WB-SW,Information Technology,0.87,18394613760,9898<BR>WB-SW<BR>+0.87%<BR><a target='_self' href='../quote/9898'>quote</a>
9901,NEW ORIENTAL-S,Consumer Discretionary,0.62,79475089408,9901<BR>NEW ORIENTAL-S<BR>+0.62%<BR><a target='_self' href='../quote/9901'>quote</a>
9922,JIUMAOJIU,Consumer Discretionary,-3.47,4668083712,9922<BR>JIUMAOJIU<BR>-3.47%<BR><a target='_self' href='../quote/9922'>quote</a>
9923,YEAHKA,Information Technology,24.49,4891286528,9923<BR>YEAHKA<BR>+24.49%<BR><a target='_self' href='../quote/9923'>quote</a>
9926,AKESO,Healthcare,-0.93,52821229568,9926<BR>AKESO<BR>-0.93%<BR><a target='_self' href='../quote/9926'>quote</a>
9930,HORIZON CD,Industrials,-2.22,4220357120,9930<BR>HORIZON CD<BR>-2.22%<BR><a target='_self' href='../quote/9930'>quote</a>
9939,KINTOR PHARMA-B,Healthcare,2.06,426690976,9939<BR>KINTOR PHARMA-B<BR>+2.06%<BR><a target='_self' href='../quote/9939'>quote</a>
9955,CLOUDR,Healthcare,-0.83,698575296,9955<BR>CLOUDR<BR>-0.83%<BR><a target='_self' href='../quote/9955'>quote</a>
9956,ANE,Industrials,-1.4,9025458176,9956<BR>ANE<BR>-1.4%<BR><a target='_self' href='../quote/9956'>quote</a>
9959,LINKLOGIS-W,Information Technology,-6.35,3783516672,9959<BR>LINKLOGIS-W<BR>-6.35%<BR><a target='_self' href='../quote/9959'>quote</a>
9961,TRIP.COM-S,Consumer Discretionary,-4.74,347041103872,9961<BR>TRIP.COM-S<BR>-4.74%<BR><a target='_self' href='../quote/9961'>quote</a>
9966,ALPHAMAB-B,Healthcare,-0.55,3459729664,9966<BR>ALPHAMAB-B<BR>-0.55%<BR><a target='_self' href='../quote/9966'>quote</a>
9969,INNOCARE,Healthcare,-0.33,12477658112,9969<BR>INNOCARE<BR>-0.33%<BR><a target='_self' href='../quote/9969'>quote</a>
9979,GREENTOWN MGMT,Properties & Construction,-0.92,6333417984,9979<BR>GREENTOWN MGMT<BR>-0.92%<BR><a target='_self' href='../quote/9979'>quote</a>
9985,WEILONG,Consumer Staples,-0.83,16787211264,9985<BR>WEILONG<BR>-0.83%<BR><a target='_self' href='../quote/9985'>quote</a>
9987,YUM CHINA,Consumer Discretionary,-1.32,144210231296,9987<BR>YUM CHINA<BR>-1.32%<BR><a target='_self' href='../quote/9987'>quote</a>
9988,BABA-SW,Information Technology,-0.67,1558371893248,9988<BR>BABA-SW<BR>-0.67%<BR><a target='_self' href='../quote/9988'>quote</a>
9992,POP MART,Consumer Discretionary,-1.1,112804372480,9992<BR>POP MART<BR>-1.1%<BR><a target='_self' href='../quote/9992'>quote</a>
9993,RADIANCE HLDGS,Properties & Construction,0.0,11731167232,9993<BR>RADIANCE HLDGS<BR>+0.0%<BR><a target='_self' href='../quote/9993'>quote</a>
9995,REMEGEN,Healthcare,-0.68,14250266624,9995<BR>REMEGEN<BR>-0.68%<BR><a target='_self' href='../quote/9995'>quote</a>
9996,PEIJIA-B,Healthcare,1.25,2693035520,9996<BR>PEIJIA-B<BR>+1.25%<BR><a target='_self' href='../quote/9996'>quote</a>
9997,KANGJI MEDICAL,Healthcare,-1.4,7687968256,9997<BR>KANGJI MEDICAL<BR>-1.4%<BR><a target='_self' href='../quote/9997'>quote</a>
9999,NTES-S,Information Technology,-1.06,452434755584,9999<BR>NTES-S<BR>-1.06%<BR><a target='_self' href='../quote/9999'>quote</a>
